X,Y,Pressure,Time
553.610827967162,195.370592364269,0.1396825,0
553.610827967162,195.186016418958,0.2361416,1
553.610827967162,195.26512039552,0.1995116,1
553.517075106052,195.001440473647,0.3123321,16
553.610827967162,195.080544450209,0.2727717,16
553.610827967162,195.080544450209,0.2727717,16
553.517075106052,195.001440473647,0.3123321,17
553.423322244942,195.001440473647,0.4070818,31
553.517075106052,195.001440473647,0.3594628,31
553.517075106052,195.001440473647,0.3594628,31
553.423322244942,195.001440473647,0.4070818,32
553.188940092166,195.001440473647,0.4954823,47
553.282692953276,195.001440473647,0.4544567,47
553.282692953276,195.001440473647,0.4544567,47
553.188940092166,195.001440473647,0.4954823,48
552.813928647725,195.080544450209,0.564591,62
553.001434369945,195.080544450209,0.5323566,62
553.001434369945,195.080544450209,0.5323566,62
552.813928647725,195.080544450209,0.564591,63
551.267006439405,195.001440473647,0.6100122,78
552.204535050508,195.080544450209,0.5929182,78
552.204535050508,195.080544450209,0.5929182,78
551.267006439405,195.001440473647,0.6100122,79
547.141880550554,194.816864528336,0.6188034,94
549.673207800531,194.895968504898,0.6163614,94
549.673207800531,194.895968504898,0.6163614,94
547.141880550554,194.816864528336,0.6188034,95
539.876033814508,195.186016418958,0.6214896,109
543.81365398114,194.895968504898,0.6210012,109
543.81365398114,194.895968504898,0.6210012,109
539.876033814508,195.186016418958,0.6214896,110
530.360118411817,196.715359965819,0.6229548,126
535.422772911771,195.818848231452,0.6229548,126
513.67210913419,200.538718832972,0.620757,141
522.297372356334,198.350175481429,0.6224664,141
522.297372356334,198.350175481429,0.6224664,141
513.67210913419,200.538718832972,0.620757,142
502.98428296762,203.623773918882,0.618315,156
505.421857356487,202.911838129826,0.6205128,156
505.421857356487,202.911838129826,0.6205128,156
502.98428296762,203.623773918882,0.618315,157
495.718436231574,206.102365184484,0.618315,172
499.140415662099,204.915805536058,0.6180708,172
500.874843592639,204.362077700125,0.6180708,172
500.874843592639,204.362077700125,0.6180708,172
495.718436231574,206.102365184484,0.618315,173
499.140415662099,204.915805536058,0.6180708,173
491.874568926054,208.185436567278,0.6229548,187
493.374614703818,207.183452864162,0.6205128,187
493.374614703818,207.183452864162,0.6205128,187
491.874568926054,208.185436567278,0.6229548,188
490.327646717734,211.191387676626,0.6205128,203
490.843287453841,209.371996215705,0.6229548,203
490.843287453841,209.371996215705,0.6229548,203
490.327646717734,211.191387676626,0.6205128,204
489.624500259407,220.921176793725,0.6185592,219
489.952635273293,214.197338785974,0.6185592,219
489.952635273293,214.197338785974,0.6185592,219
489.624500259407,220.921176793725,0.6185592,220
489.624500259407,230.360917996765,0.6185592,234
489.624500259407,230.360917996765,0.6185592,234
489.858882412183,240.644434949797,0.6188034,234
489.858882412183,240.644434949797,0.6188034,235
489.624500259407,256.201550340281,0.6188034,250
489.858882412183,248.106576738792,0.6188034,250
489.858882412183,248.106576738792,0.6188034,250
489.624500259407,256.201550340281,0.6188034,251
488.73384807886,275.95117648854,0.6185592,266
489.530747398297,265.852235480819,0.6185592,266
489.530747398297,265.852235480819,0.6185592,266
488.73384807886,275.95117648854,0.6185592,267
486.483779412213,295.041602832118,0.6188034,281
487.702566606647,285.839173558763,0.6188034,281
487.702566606647,285.839173558763,0.6188034,281
486.483779412213,295.041602832118,0.6188034,282
484.280587176122,310.941502121036,0.6190476,297
485.311868648335,303.40025635548,0.6188034,297
485.311868648335,303.40025635548,0.6188034,297
484.280587176122,310.941502121036,0.6190476,298
482.968047120579,319.511099581896,0.619536,312
483.296182134465,317.217084261605,0.619536,312
483.296182134465,317.217084261605,0.619536,312
482.968047120579,319.511099581896,0.619536,313
482.874294259468,321.225019074068,0.619536,328
482.874294259468,321.225019074068,0.619536,328
482.968047120579,322.332474745933,0.619536,328
482.968047120579,322.332474745933,0.619536,329
482.968047120579,324.494650105289,0.6151404,344
483.671193578906,325.786681722465,0.604884,345
484.702475051118,326.498617511521,0.5960928,359
484.702475051118,326.498617511521,0.5960928,359
486.624408703879,327.131449324015,0.592674,359
489.624500259407,327.606073183386,0.592674,359
486.624408703879,327.131449324015,0.592674,360
489.624500259407,327.606073183386,0.592674,360
493.796502578814,327.790649128697,0.5931624,375
