X,Y,Pressure,Time
440.638630329295,193.893984801782,0.01318681,0
440.638630329295,193.893984801782,0.1557998,1
440.638630329295,193.814880825221,0.1924298,16
440.638630329295,193.893984801782,0.1782662,16
440.638630329295,193.893984801782,0.1782662,16
440.638630329295,193.814880825221,0.1924298,17
440.544877468184,193.709408856471,0.2854701,31
440.638630329295,193.709408856471,0.239072,31
440.638630329295,193.709408856471,0.239072,31
440.544877468184,193.709408856471,0.2854701,32
440.544877468184,193.709408856471,0.3177045,47
440.544877468184,193.709408856471,0.3177045,47
440.544877468184,193.709408856471,0.354823,47
440.544877468184,193.709408856471,0.354823,48
440.404248176519,193.63030487991,0.3980464,63
440.310495315409,193.63030487991,0.437851,64
440.216742454299,193.551200903348,0.4693529,78
440.029236732078,193.445728934599,0.5015873,79
439.419843134861,193.076577043977,0.5504274,94
439.841731009857,193.366624958037,0.529182,94
439.841731009857,193.366624958037,0.529182,94
439.419843134861,193.076577043977,0.5504274,95
437.919797357097,192.628321176794,0.5858364,109
438.716696676534,192.892001098666,0.5667888,109
438.716696676534,192.892001098666,0.5667888,109
437.919797357097,192.628321176794,0.5858364,110
436.701010162664,192.364641254921,0.6070818,125
435.154087954344,191.89001739555,0.6224664,126
433.46653645436,191.441761528367,0.6354091,141
431.310220648824,190.808929715873,0.6507937,142
429.013275551622,190.176097903378,0.6590965,156
426.669454023865,189.358690145573,0.6647131,158
418.794213690603,187.170146794031,0.6888889,172
421.513046662801,187.802978606525,0.6800977,172
424.138126773888,188.541282387768,0.6727717,172
424.138126773888,188.541282387768,0.6727717,172
418.794213690603,187.170146794031,0.6888889,173
421.513046662801,187.802978606525,0.6800977,173
412.559648426771,186.352739036225,0.7125763,188
415.74724570452,186.537314981536,0.7008547,188
415.74724570452,186.537314981536,0.7008547,188
412.559648426771,186.352739036225,0.7125763,189
405.950071718497,186.616418958098,0.735287,203
409.184545426801,186.352739036225,0.7233211,203
409.184545426801,186.352739036225,0.7233211,203
405.950071718497,186.616418958098,0.735287,204
402.715598010193,187.170146794031,0.7467644,219
399.996765037996,188.093026520585,0.7533578,220
395.449751274148,190.176097903378,0.7606838,234
397.465437788018,189.095010223701,0.7579976,234
397.465437788018,189.095010223701,0.7579976,234
395.449751274148,190.176097903378,0.7606838,235
392.82467116306,192.733793145543,0.7606838,250
393.949705496384,191.362657551805,0.7606838,250
393.949705496384,191.362657551805,0.7606838,250
392.82467116306,192.733793145543,0.7606838,251
392.449659718619,195.080544450209,0.7565324,266
392.449659718619,195.080544450209,0.7565324,266
392.73091830195,201.540702536088,0.7533578,266
392.73091830195,201.540702536088,0.7533578,267
395.355998413038,214.540122684408,0.7528694,281
399.621753593555,233.656917020173,0.7526252,282
402.106204412976,248.291152684103,0.7526252,297
402.106204412976,248.291152684103,0.7526252,297
404.450025940733,264.850251777703,0.7526252,297
406.278206732383,281.752134769738,0.7526252,297
404.450025940733,264.850251777703,0.7526252,298
406.278206732383,281.752134769738,0.7526252,298
408.106387524033,298.126657918027,0.7531136,313
409.887691885128,312.312637714774,0.7533578,328
411.434614093448,323.677242347484,0.754823,328
412.559648426771,332.405047761467,0.7550672,344
412.559648426771,332.405047761467,0.7550672,344
413.544053468429,338.522421948912,0.7553114,344
414.059694204535,340.500021362957,0.7579976,344
413.544053468429,338.522421948912,0.7553114,345
414.059694204535,340.500021362957,0.7579976,345
414.669087801752,342.055732902005,0.7592186,359
414.669087801752,342.055732902005,0.7592186,359
415.184728537858,343.242292550432,0.7592186,359
415.184728537858,343.242292550432,0.7592186,360
416.497268593402,345.773619800409,0.7570208,375
416.497268593402,345.773619800409,0.7570208,375
417.997314371166,347.59301126133,0.7526252,375
417.997314371166,347.59301126133,0.7526252,376
420.200506607257,349.148722800378,0.7494506,391
422.96621601001,350.414386425367,0.7479854,392
426.575701162755,351.521842097232,0.7457876,406
426.575701162755,351.521842097232,0.7457876,406
430.747703482162,352.154673909726,0.7435898,406
430.747703482162,352.154673909726,0.7435898,407
435.38847010712,352.154673909726,0.7394384,422
435.38847010712,352.154673909726,0.7394384,422
440.404248176519,351.890993987854,0.7335775,422
440.404248176519,351.890993987854,0.7335775,423
445.466902676473,351.337266151921,0.7255189,438
445.466902676473,351.337266151921,0.7255189,438
450.107669301431,350.414386425367,0.7042735,438
450.107669301431,350.414386425367,0.7042735,439
454.279671620838,349.333298745689,0.6676435,453
454.279671620838,349.333298745689,0.6676435,453
457.795403912473,347.962163151952,0.5973138,453
457.795403912473,347.962163151952,0.5973138,454
460.514236884671,346.063667714469,0.4593407,469
460.514236884671,346.063667714469,0.4593407,469
461.733024079104,339.339829706717,0.2434676,469
461.733024079104,339.339829706717,0.2434676,470
461.733024079104,339.339829706717,0,484
462,339,0.5,484
404.637531662954,271.574089785455,0.3802198,626
404.637531662954,271.494985808893,0.4693529,641
404.965666676839,271.310409863582,0.4798535,641
405.340678121281,270.835786004212,0.4832723,656
405.340678121281,270.835786004212,0.4832723,656
406.465712454604,270.123850215155,0.5228328,656
406.465712454604,270.123850215155,0.5228328,657
409.090792565691,268.568138676107,0.5868132,672
409.090792565691,268.568138676107,0.5868132,672
412.934659871212,266.485067293313,0.6307693,672
412.934659871212,266.485067293313,0.6307693,673
420.903653065584,262.846284371471,0.6578755,688
420.903653065584,262.846284371471,0.6578755,688
430.138309884945,259.761229285562,0.6722833,688
430.138309884945,259.761229285562,0.6722833,689
438.904202398755,258.284621723075,0.6788767,703
438.904202398755,258.284621723075,0.6788767,703
444.670003357036,258.653773613697,0.6788767,703
444.670003357036,258.653773613697,0.6788767,704
447.388836329234,259.576653340251,0.6715507,719
447.388836329234,259.576653340251,0.6715507,719
453.670278023621,264.375627918333,0.5423688,719
453.670278023621,264.375627918333,0.5423688,720
404.4,271.8,0.5,735
453.670278023621,264.375627918333,0,735
484.186834315012,330.506552323984,0.2820513,1126
484.186834315012,330.242872402112,0.3452992,1141
484.186834315012,330.321976378674,0.3350427,1141
484.374340037233,329.952824488052,0.378022,1156
484.374340037233,329.952824488052,0.378022,1156
484.702475051118,329.135416730247,0.4126984,1156
484.702475051118,329.135416730247,0.4126984,1157
485.499374370556,327.500601214637,0.425641,1172
485.499374370556,327.500601214637,0.425641,1172
486.718161564989,324.151866206854,0.4593407,1172
486.718161564989,324.151866206854,0.4593407,1173
489.155735953856,315.23948484756,0.4998779,1188
489.155735953856,315.23948484756,0.4998779,1188
492.062074648274,300.051521347697,0.5394384,1188
492.062074648274,300.051521347697,0.5394384,1189
495.390301217689,279.853639332255,0.5736264,1204
499.32792138432,262.028876613666,0.5956044,1219
499.32792138432,262.028876613666,0.5956044,1219
501.953001495407,244.916049684133,0.6021978,1219
504.109317300943,229.912662129582,0.6058608,1219
501.953001495407,244.916049684133,0.6021978,1220
504.109317300943,229.912662129582,0.6058608,1220
507.437543870357,215.542106387524,0.6092796,1234
507.437543870357,215.542106387524,0.6092796,1234
510.578264717551,202.911838129826,0.6092796,1234
510.578264717551,202.911838129826,0.6092796,1235
513.203344828639,191.626337473678,0.6090354,1250
515.828424939726,181.817444380016,0.6068376,1251
518.547257911924,174.539878536332,0.6046398,1266
518.547257911924,174.539878536332,0.6046398,1266
519.344157231361,172.984166997284,0.6002442,1266
519.344157231361,172.984166997284,0.6002442,1267
519.859797967467,172.430439161351,0.5948718,1281
519.859797967467,172.430439161351,0.5948718,1281
520.469191564684,172.5359111301,0.5772894,1281
521.781731620228,173.537894833216,0.5687424,1281
520.469191564684,172.5359111301,0.5772894,1282
521.781731620228,173.537894833216,0.5687424,1282
524.219306009095,180.261732840968,0.5687424,1297
524.219306009095,180.261732840968,0.5687424,1297
527.313150425733,197.18998382519,0.5782662,1297
530.875759147923,222.555992309336,0.584127,1297
527.313150425733,197.18998382519,0.5782662,1313
530.875759147923,222.555992309336,0.584127,1313
534.016479995117,243.202130191961,0.5875458,1328
534.016479995117,243.202130191961,0.5875458,1328
537.719718008972,264.850251777703,0.5965812,1328
541.376079592273,286.577477340007,0.6200244,1328
537.719718008972,264.850251777703,0.5965812,1329
541.376079592273,286.577477340007,0.6200244,1329
544.516800439467,305.219647816401,0.6449329,1344
544.516800439467,305.219647816401,0.6449329,1344
548.032532731101,319.511099581896,0.6683761,1344
548.032532731101,319.511099581896,0.6683761,1345
551.970152897732,328.133433027131,0.6893773,1359
551.970152897732,328.133433027131,0.6893773,1359
553.798333689383,329.768248542741,0.7013431,1359
553.798333689383,329.768248542741,0.7013431,1360
555.532761619922,330.585656300546,0.7013431,1375
555.532761619922,330.585656300546,0.7013431,1375
557.267189550462,330.506552323984,0.6959707,1375
557.267189550462,330.506552323984,0.6959707,1376
560.454786828211,329.768248542741,0.6957265,1391
564.626789147618,323.861818292795,0.6957265,1392
567.673757133702,309.860414441359,0.7062271,1406
569.595690786462,289.319748527482,0.7135531,1407
569.595690786462,257.282638019959,0.7201465,1422
569.689443647572,273.841737113559,0.7184371,1422
569.689443647572,273.841737113559,0.7184371,1422
569.595690786462,257.282638019959,0.7201465,1423
567.251869258705,221.817688528092,0.7203907,1438
568.658162175359,240.196179082614,0.7203907,1438
568.658162175359,240.196179082614,0.7203907,1438
567.251869258705,221.817688528092,0.7203907,1439
565.845576342051,191.89001739555,0.6744811,1453
565.845576342051,203.913821832942,0.7150183,1453
565.845576342051,203.913821832942,0.7150183,1453
565.845576342051,191.89001739555,0.6744811,1454
566.736228522599,186.273635059664,0.6227106,1469
566.736228522599,186.273635059664,0.6227106,1469
566.923734244819,185.799011200293,0.5528694,1469
566.923734244819,185.799011200293,0.5528694,1470
567.158116397595,186.273635059664,0.413431,1484
568.470656453139,192.733793145543,0.1956044,1485
568.4,192.6,0.5,1500
568.470656453139,192.733793145543,0,1500
632.925748466445,192.628321176794,0.01978022,1767
631.613208410901,190.439777825251,0.2505495,1781
632.316354869228,191.547233497116,0.2168498,1781
628.003723258156,185.983587145604,0.354823,1797
630.019409772027,188.356706442457,0.2930403,1797
630.019409772027,188.356706442457,0.2930403,1797
628.003723258156,185.983587145604,0.354823,1798
622.331675160985,182.160228278451,0.4566545,1813
625.331766716514,183.90051576281,0.4095238,1813
625.331766716514,183.90051576281,0.4095238,1813
622.331675160985,182.160228278451,0.4566545,1814
614.831446272164,182.634852137822,0.5665446,1828
618.769066438795,181.632868434706,0.5106227,1828
618.769066438795,181.632868434706,0.5106227,1828
614.831446272164,182.634852137822,0.5665446,1829
604.753013702811,197.269087801752,0.6293041,1844
610.800073244423,186.352739036225,0.6080586,1844
610.800073244423,186.352739036225,0.6080586,1844
604.753013702811,197.269087801752,0.6293041,1845
599.877864925077,218.284377574999,0.6534799,1859
597.768425550096,268.568138676107,0.7399268,1861
598.190313425092,247.473744926298,0.6967033,1861
597.44029053621,289.477956480605,0.7680098,1875
597.44029053621,289.477956480605,0.7680098,1875
597.862178411206,307.039039277322,0.791453,1875
597.862178411206,307.039039277322,0.791453,1876
599.784112063967,320.038459425642,0.8112332,1891
599.784112063967,320.038459425642,0.8112332,1891
603.206091494491,328.054329050569,0.8310134,1891
603.206091494491,328.054329050569,0.8310134,1892
605.971800897244,330.585656300546,0.8405373,1906
605.971800897244,330.585656300546,0.8405373,1906
616.565874202704,335.964726706748,0.8405373,1906
616.565874202704,335.964726706748,0.8405373,1907
626.175542466506,336.333878597369,0.8368742,1922
626.175542466506,336.333878597369,0.8368742,1922
636.34772789697,334.409015167699,0.8332112,1922
636.34772789697,334.409015167699,0.8332112,1923
645.066743980224,330.770232245857,0.8261294,1938
645.066743980224,330.770232245857,0.8261294,1938
653.129490035707,326.683193456832,0.8063492,1938
653.129490035707,326.683193456832,0.8063492,1939
660.910977507859,322.147898800623,0.7697192,1953
660.910977507859,322.147898800623,0.7697192,1953
668.176824243904,316.953404339732,0.6971917,1953
668.176824243904,316.953404339732,0.6971917,1954
673.848872341075,311.495229956969,0.4942613,1969
673.848872341075,311.495229956969,0,1970
674,311.8,0.5,1970
678.817773979919,315.397692800684,0.1675214,2625
678.724021118809,314.9494369335,0.3010989,2626
678.724021118809,315.23948484756,0.2844933,2626
678.911526841029,314.316605121006,0.3047619,2641
678.911526841029,314.316605121006,0.3047619,2641
679.09903256325,312.681789605396,0.3369963,2641
679.09903256325,312.681789605396,0.3369963,2642
679.802179021577,309.596734519486,0.3614164,2656
679.802179021577,309.596734519486,0.3614164,2656
681.349101229896,301.95001678518,0.3772894,2656
681.349101229896,301.95001678518,0.3772894,2657
683.974181340983,289.662532425916,0.389011,2672
683.974181340983,289.662532425916,0.389011,2672
687.302407910398,273.578057191687,0.4124542,2672
687.302407910398,273.578057191687,0.4124542,2673
689.505600146489,261.105996887112,0.4410256,2689
691.240028077029,246.920017090365,0.4703297,2689
692.833826715903,231.283797723319,0.4901099,2703
694.568254646443,214.091866817225,0.5006105,2704
697.00582903531,198.165599536119,0.5042735,2719
697.00582903531,198.165599536119,0.5042735,2719
