X,Y,Pressure,Time
329.682119205298,115.686519974364,0.218315,0
329.682119205298,115.686519974364,0.2879121,1
329.588366344188,115.607415997803,0.3111111,16
329.588366344188,115.607415997803,0.3111111,16
329.588366344188,115.607415997803,0.3294261,16
329.588366344188,115.607415997803,0.3294261,17
329.588366344188,115.422840052492,0.3758242,31
329.588366344188,115.317368083743,0.4217338,32
329.494613483078,115.238264107181,0.4483517,47
329.494613483078,115.238264107181,0.4666667,48
329.166478469192,114.974584185308,0.5169719,63
329.353984191412,115.132792138432,0.4891331,63
329.353984191412,115.132792138432,0.4891331,63
329.166478469192,114.974584185308,0.5169719,64
327.572679830317,113.972600482192,0.5697192,78
328.650837733085,114.605432294687,0.542613,78
328.650837733085,114.605432294687,0.542613,78
327.572679830317,113.972600482192,0.5697192,79
323.3069246498,112.047737052522,0.6107448,94
325.838251899777,113.049720755638,0.5931624,94
325.838251899777,113.049720755638,0.5931624,94
323.3069246498,112.047737052522,0.6107448,95
319.884945219275,111.045753349406,0.6253968,109
315.712942899869,110.33381756035,0.6366301,110
310.9784234138,109.674617755669,0.6429793,125
302.493789483322,109.516409802545,0.6476191,127
287.962096011231,110.966649372845,0.6586081,141
290.165288247322,110.676601458785,0.6527473,141
292.88412121952,110.412921536912,0.6498169,141
292.88412121952,110.412921536912,0.6498169,141
287.962096011231,110.966649372845,0.6586081,142
290.165288247322,110.676601458785,0.6527473,142
279.852473525193,111.599481185339,0.6739927,156
283.274452955718,111.414905240028,0.6666667,156
283.274452955718,111.414905240028,0.6666667,156
279.852473525193,111.599481185339,0.6739927,157
275.727347636341,111.49400921659,0.6827839,172
277.321146275216,111.599481185339,0.6803419,172
277.321146275216,111.599481185339,0.6803419,172
275.727347636341,111.49400921659,0.6827839,173
274.602313303018,111.414905240028,0.6808303,188
274.883571886349,111.414905240028,0.6827839,188
274.883571886349,111.414905240028,0.6827839,188
274.602313303018,111.414905240028,0.6808303,189
274.602313303018,111.49400921659,0.6735043,203
274.602313303018,111.49400921659,0.6735043,203
274.602313303018,111.599481185339,0.6649573,203
274.602313303018,111.599481185339,0.6649573,204
274.789819025239,111.863161107212,0.6566545,219
274.789819025239,111.863161107212,0.6566545,219
275.024201178014,112.153209021271,0.6463981,219
275.024201178014,112.153209021271,0.6463981,220
275.399212622456,112.786040833766,0.6385837,234
275.399212622456,112.786040833766,0.6385837,234
276.008606219672,113.867128513443,0.6358975,234
276.008606219672,113.867128513443,0.6358975,235
276.805505539109,116.055671864986,0.6358975,250
276.805505539109,116.055671864986,0.6358975,250
277.321146275216,119.958134708701,0.6393163,250
277.321146275216,119.958134708701,0.6393163,251
277.930539872433,147.618158513138,0.6454213,266
278.118045594653,129.6879238258,0.6429793,266
278.118045594653,129.6879238258,0.6429793,266
277.930539872433,147.618158513138,0.6454213,267
277.508651997436,196.820831934568,0.6459097,281
277.930539872433,174.724454481643,0.6459097,281
277.930539872433,174.724454481643,0.6459097,281
277.508651997436,196.820831934568,0.6459097,282
276.336741233558,242.015570543535,0.6432235,297
276.617999816889,220.472920926542,0.6459097,297
276.617999816889,220.472920926542,0.6459097,297
276.336741233558,242.015570543535,0.6432235,298
276.524246955779,260.578637043367,0.6429793,313
277.321146275216,275.66112857448,0.6427351,314
278.539933469649,288.396868800928,0.6427351,328
279.758720664083,299.049537644581,0.6468865,329
281.493148594623,307.223615222632,0.6556777,344
281.493148594623,307.223615222632,0.6556777,344
283.602587969604,312.760893581957,0.6632479,344
283.602587969604,312.760893581957,0.6632479,345
284.821375164037,314.580285042878,0.6666667,359
286.133915219581,315.872316660054,0.6666667,360
287.352702414014,316.768828394421,0.6666667,360
290.165288247322,318.50911587878,0.6637363,375
293.306009094516,319.511099581896,0.6625153,376
296.915494247261,320.143931394391,0.6625153,391
296.915494247261,320.143931394391,0.6625153,391
300.853114413892,320.328507339702,0.6642247,391
300.853114413892,320.328507339702,0.6642247,392
305.118869594409,320.223035370953,0.6664225,406
305.118869594409,320.223035370953,0.6664225,406
309.243995483261,319.774779503769,0.6678877,406
309.243995483261,319.774779503769,0.6678877,407
313.791009247108,318.772795800653,0.6700855,422
321.806878872036,316.689724417859,0.6735043,423
331.369670705283,313.499197363201,0.6752137,438
341.916867580187,310.04499038667,0.6766789,439
348.667073580126,307.961919003876,0.6766789,453
348.667073580126,307.961919003876,0.6766789,453
351.292153691214,307.223615222632,0.6764347,453
351.292153691214,307.223615222632,0.6764347,454
353.214087343974,306.590783410138,0.6466423,469
353.214087343974,306.590783410138,0.6466423,469
354.620380260628,306.142527542955,0.527961,469
354.620380260628,306.142527542955,0.527961,470
358.370494705039,303.848512222663,0.3326007,484
358,303.8,0.5,485
358.370494705039,303.848512222663,0,485
261.055024872585,200.169566942351,0.3072039,688
261.055024872585,200.169566942351,0.3611722,689
261.055024872585,200.169566942351,0.376801,703
261.148777733696,200.2750389111,0.409768,704
261.758171330912,200.45961485641,0.4380952,719
261.758171330912,200.45961485641,0.4380952,719
263.164464247566,200.907870723594,0.4551893,719
265.695791497543,201.356126590777,0.4874237,719
263.164464247566,200.907870723594,0.4551893,720
265.695791497543,201.356126590777,0.4874237,720
269.633411664174,201.725278481399,0.5240538,734
269.633411664174,201.725278481399,0.5240538,734
